identifier,abstract,collection,collection_identifier,date_qualifier,date_end,date_single/start,date_text,filename,form,form_URI,internetMediaType,item_type,language,name_1,name_role_1,name_role_URI_1,project_title,public_note,repository,rights,subject_geographic 1,subject_geographic_DOTS 1,subject_geographic_URI 1,subject_geographic_coordinates 1,subject_geographic 2,subject_geographic_URI 2,subject_geographic_coordinates 2,subject_geographic 3,subject_geographic_DOTS 3,subject_geographic_coordinates 3,subject_geographic 4,subject_geographic_DOTS 4,subject_geographic_coordinates 4,subject_geographic 5,subject_geographic_DOTS 5,subject_geographic 5 2 1,subject_geographic 6,subject_geographic_DOTS 6,subject_geographic_coordinates 6,subject_geographic 7,subject_geographic_DOTS 7,subject_geographic_coordinates 7,subject_geographic 8,subject_geographic_coordinates 8,subject_geographic 9,subject_geographic_coordinates 9,subject_geographic 10,subject_geographic_coordinates 10,subject_geographic 11,subject_name 1,subject_name 2,subject_name_DOTS 2,subject_name 3,subject_name 4,subject_name 5,subject_name 6,subject_name 7,subject_name_DOTS 7,subject_name 8,subject_name 9,subject_name_DOTS 9,subject_name 10,subject_name_DOTS 10,subject_name 11,subject_name_DOTS 11,subject_name 12,subject_name_DOTS 12,subject_topical 1,subject_topical_URI 1,subject_topical_DOTS 1,subject_topical 2,subject_topical_URI 2,subject_topical_DOTS 2,subject_topical 3,subject_topical_DOTS 3,subject_topical 4,subject_topical_DOTS 4,subject_topical 5,subject_topical_URI 5,subject_topical_DOTS 5,subject_topical 6,subject_topical_DOTS 6,subject_topical 7,subject_topical_DOTS 7,subject_topical 8,subject_topical_URI 8,subject_topical_DOTS 8,subject_topical 9,subject_topical_URI 9,subject_topical_DOTS 9,subject_topical 10 2,subject_topical_URI 11,subject_topical 12,subject_topical_URI 12,subject_topical_DOTS 12,subject_topical 13,subject_topical_URI 13,subject_topical_DOTS 13,subject_topical 14,subject_topical_URI 14,subject_topical_DOTS 14,subject_topical 15,subject_topical_URI 15,subject_topical_DOTS 15,subject_topical 16,subject_topical_URI 16,subject_topical_DOTS 16,subject_topical 17,subject_topical_URI 17,subject_topical_DOTS 17,title_initial_article,title
0012_3665_0011_0000,"""Charlie Myers being driven by John W. Oliver across the Cades Cove Mountain with his Star route mail""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0011_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",,,,,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,"Myers, Charlie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver Driving Charles Myers Along Mail Route
0012_3665_0012_0000,John W. Oliver carrying mailbags in the snow,Dunn-Oliver Collection,MS.3690,approximate,,1931,circa 1931,0012_3665_0012_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",,,,,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver with mailbags in the snow
0012_3665_0013_0000,John W. Oliver loading mailbags into car,Dunn-Oliver Collection,MS.3690,approximate,,1931,circa 1931,0012_3665_0013_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",,,,,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver loading mailbags into car
0012_3665_0014_0000,John W. Oliver with mail under snowy trees,Dunn-Oliver Collection,MS.3690,approximate,,1931,circa 1931,0012_3665_0014_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",,,,,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver with mail under snowy trees
0012_3665_0015_0000,"""Primitive Baptist Church House. Organized June 16, 1827.""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0015_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",Primitive Baptist Church,,"34.00232, -84.39659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primitive Baptist Church House
0012_3665_0016_0000,"""Old Cable Grist Mill""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0016_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",John P Cable Mill Area,,"35.58453, -83.84407",,,,,,,,,,,,,,,,,,,,Cable Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Cable Grist Mill
0012_3665_0017_0000,"""John W. Oliver at the ballot box""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0017_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",,,,,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver in front of Ballot Box
0012_3665_0018_0000,John W. Oliver with mail bags in front of Cades Cove Post Office,Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0018_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",Jonathan Myers Post Office,,,Cades Cove Post Office,,,,,,,,,,,,,,,,,,,Oliver Family,"Oliver, John W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John W. Oliver in front of Jonathan Myers Post Office
0012_3665_0019_0000,"""Primitive Baptist Church House. Organized June 16, 1827.""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0019_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",Primitive Baptist Church,,"34.00232, -84.39659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primitive Baptist Church House
0012_3665_0020_0000,"""Old Log Church house in Chestnutt Flats, a suburb of Cades Cove""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0020_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",Chestnut Flats,Chestnut Flats,"36.414, -82.13124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Log Church House in Chestnut Flats
0012_3665_0021_0000,"""Old Home of George W. and Aunt Ann Powell in Chestnutt Flats, a suburb of Cades Cove. It's history can never be written.""",Dunn-Oliver Collection,MS.3690,approximate,,1925,circa 1925,0012_3665_0021_0000.jp2,photographs,http://vocab.getty.edu/aat/300046300,image/jp2,still image,zxx,unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,Dunn Oliver,,"University of Tennessee, Knoxville. Special Collections","May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",Cades Cove (Tenn.),Cades Cove,http://id.loc.gov/authorities/subjects/sh85018626,"35.59426, -83.84184",Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343, -83.50822",Chestnut Flats,Chestnut Flats,"36.414, -82.13124",George W. Powell Place,,,,,,,,,,,,,,,,,,,Oliver Family,Powell Family,,"Powell, George W.","Powell, Ann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Home of George W. and Aunt Ann Powell
